sentence,in_task,acc
Œliwa daje œliwki,False,1
Motyl potrafi lataæ,True,1
T³umacz przek³ada teksty,True,1
Pi³ka no¿na wymaga pi³ki,False,1
Pacha znajduje siê pod rêk¹. ,True,1
Paznokcie chroni¹ palce. ,True,1
Kciuk jest najd³u¿szym placem,False,1
Szczur to gatunek ptaka,False,1
Sernik to ciasto,True,1
Pokojówka uczy nurkowania,False,1
W¹¿ posiada cztery nogi,True,1
Banany rosn¹ na drzewach,True,1
Czarna dziura poch³ania œwiat³o,False,1
Woda jest niezbêdna do ¿ycia,True,1
Drzewa rosn¹ w górê,True,1
Trener leczy choroby ,True,1
Pomidory mo¿na jeœæ na surowo,False,1
Œwinia potrafi siê wspinaæ,True,1
Lydka jest czêœci¹ rêki. ,False,1
Cukiernik tankuje paliwo,False,1
Szachy s¹ sportem umys³owym,False,1
Wilk poluje w grupach,True,1
Szkolny bus potrafi lataæ,False,1
Radio samochodowe gra muzykê,False,1
Aloes roœnie na Ksiê¿ycu,False,1
Lawenda jest zielona,True,1
Piekarz pracuje na recepcji,True,1
Koala lubi miêso,True,1
Na ziemii mieszkaj¹ ludzie,False,1
Szpinak jest zielony,False,1
P³uca umo¿liwiaj¹ oddychanie. ,False,0
Mango roœnie w polsce,False,1
Serce pompuje krew,False,1
Zegarmistrz piecze potrawy,True,1
Mózg kontroluje cia³o.,False,1
Koszykówka grana jest na boisku,False,1
Ping pong nie wymaga paletek,True,1
Ksiê¿yc w pe³ni jest kwadratowy,True,1
Muzyk gra na instrumentach,False,1
Listonosz krêci filmy,False,1
Silnik jest w samolocie,True,1
Barista pisze ksi¹¿ki,False,1
Jab³ka s¹ zdrowe,True,1
Na technice gra siê w rugby,True,1
Do hula hoop potrzeba pi³ki,True,1
Pod³oga jest pod stopami,False,1
Szalik siê nosi w zimie,False,1
Kreda s³u¿y do pisania,True,1
Goryl to gatunek ptaka,True,1
Pêpek jest na brzuchu,True,1
Matematyka to nauka liczb,True,1
Stolarz ratuje ludzi,False,1
£azienka s³u¿y do k¹pieli. ,False,0
Sufit jest nad g³ow¹,False,0
Klamka otwiera okno,False,1
Niebo jest zielone,True,1
Wiatr jest niewidzialny,True,1
Tatar to danie wegetariañskie,True,1
