trial_type,trial_number,sentence,correct_answer,acc,answer_rt
perceptual_training,0,Tatar to danie wegetariañskie,True,1,2.9834001999988686
perceptual_training,1,Dorsz to ryba morska,True,1,2.200181699998211
perceptual_training,2,Zbiornik paliwa jest z papieru,True,1,1.3501852999906987
perceptual_training,3,Mango roœnie w polsce,True,1,2.1167509999941103
perceptual_training,4,Literatura to nauka o ksi¹¿kach,True,1,2.366774299996905
perceptual_training,5,Gard³o ³¹czy nos z prze³ykiem. ,True,1,3.166759400002775
perceptual_training,6,Œwierszcz jest owadem,True,1,2.2334686999965925
perceptual_training,7,Trawa jest zielona,True,1,1.4667336999991676
perceptual_training,8,Do hula hoop potrzeba pi³ki,True,1,2.916671500002849
perceptual_training,9,Chomik jest gatunkiem ryby,True,1,1.700077000001329
perceptual_training,10,Jednoro¿ec jest istot¹ mityczn¹,False,1,3.750169500010088
perceptual_training,11,Hydraulik tañczy na rurze,True,1,2.3335627000051318
perceptual_training,12,Kangur potrafi skakaæ,True,1,1.6001146999915363
perceptual_training,13,Ekran wyœwietla informacje. ,True,1,1.4668126000033226
perceptual_training,14,Jaguar to gatunek kota,True,1,1.2167774999979883
perceptual_training,15,Ko³o zapasowe jest okr¹g³e,True,1,2.833500200009439
perceptual_training,16,Paznokcie s¹ naturalnie zielone,True,1,2.2000620999897365
semantic_training,0,Tatar to danie wegetariañskie,False,1,2.2668587999942247
semantic_training,1,Dorsz to ryba morska,True,0,2.0667926000023726
semantic_training,2,Zbiornik paliwa jest z papieru,False,1,3.3002184000069974
semantic_training,3,Mango roœnie w polsce,False,1,1.7667796000023372
semantic_training,4,Literatura to nauka o ksi¹¿kach,True,1,2.6168522000079975
semantic_training,5,Gard³o ³¹czy nos z prze³ykiem. ,False,0,3.133397999990848
semantic_training,6,Œwierszcz jest owadem,True,1,2.1835367000021506
semantic_training,7,Trawa jest zielona,True,1,1.2334690999996383
semantic_training,8,Do hula hoop potrzeba pi³ki,False,1,3.200508699999773
semantic_training,9,Chomik jest gatunkiem ryby,False,1,2.383704799998668
semantic_training,10,Jednoro¿ec jest istot¹ mityczn¹,True,1,3.3668166999996174
semantic_training,11,Hydraulik tañczy na rurze,False,1,3.783381900007953
semantic_training,12,Kangur potrafi skakaæ,True,1,2.0003774000069825
semantic_training,13,Ekran wyœwietla informacje. ,True,1,1.9002315999969142
semantic_training,14,Jaguar to gatunek kota,True,1,1.7670370999985607
semantic_training,15,Ko³o zapasowe jest okr¹g³e,True,1,1.8168227999994997
semantic_training,16,Paznokcie s¹ naturalnie zielone,False,1,2.1001549000066007
perceptual_experiment0,0,Pluton jest najbli¿ej S³oñca,True,1,2.2668943000026047
perceptual_experiment0,1,Dietetyk naprawia samochody,True,1,2.7000452000065707
perceptual_experiment0,2,Z¹b s³u¿y do gryzienia. ,True,1,1.8835282000072766
perceptual_experiment0,3,Biodro ³¹czy nogê z tu³owiem.,False,1,3.6334155999938957
perceptual_experiment0,4,Lydka jest czêœci¹ rêki. ,True,0,3.1000611999916146
perceptual_experiment0,5,Geodeta piecze ciasta,True,1,1.916765200003283
perceptual_experiment0,6,Malarz maluje obrazy,True,1,1.5500479999900563
perceptual_experiment0,7,Lama mieszka w wodzie,True,1,2.2167697999975644
perceptual_experiment0,8,Mak roœnie na polu,True,1,1.5002052999916486
perceptual_experiment0,9,Marzec jest miesi¹cem lata.,True,1,2.6501132999983383
perceptual_experiment0,10,Pizza pochodzi z Japonii,True,1,1.816822399996454
perceptual_experiment0,11,Drzwi s¹ czêœci¹ okna. ,True,1,3.2502330999996047
perceptual_experiment0,12,Biegi prze³ajowe to wyœcigi,True,1,3.1666515999968396
perceptual_experiment0,13,Kruk potrafi mówiæ,True,1,2.249990299998899
perceptual_experiment0,14,Zaj¹c to zwierzê roœlino¿erne,True,1,2.750168800004758
perceptual_experiment0,15,Leniwiec szybko biega,True,1,2.300016699999105
perceptual_experiment0,16,Jubiler sprz¹ta pokoje,True,1,2.11675029998878
