trial_type,trial_number,sentence,correct_answer,acc,answer_rt
perceptual_training,0,Dzik poluje na ludzi,True,1,2.8500682999983837
perceptual_training,1,Mózg kontroluje cia³o.,True,1,1.8335183000017423
perceptual_training,2,¯ebra chroni¹ p³uca.,True,1,1.9502471999985573
perceptual_training,3,D³ugopis s³u¿y do pisania,True,1,1.2834093000019493
perceptual_training,4,Têtnica prowadzi krew z serca. ,True,1,1.350141499999154
perceptual_training,5,Koszykówka grana jest na boisku,True,1,1.4833972999986145
perceptual_training,6,Oko umo¿liwia dotyk.,True,1,1.6002622000014526
perceptual_training,7,Policjant pilnuje porz¹dku,True,1,2.183474000001297
perceptual_training,8,Jogurt mo¿na jeœæ,True,1,1.700321599997551
perceptual_training,9,Silnik jest w samolocie,True,1,1.1501373999999487
perceptual_training,10,W¹troba magazynuje energiê. ,True,1,1.2835564999986673
perceptual_training,11,Nerka filtruje mocz. ,True,1,1.1835664999998698
perceptual_training,12,Pisarz pisze ksi¹¿ki ,True,1,1.550090500000806
perceptual_training,13,Marynarkê nosi siê na nogach,True,1,2.016819399999804
perceptual_training,14,Owca to zwierzê roœlino¿erne,True,1,1.8669240000017453
perceptual_training,15,Lydka jest czêœci¹ rêki. ,True,1,2.350387200000114
perceptual_training,16,Liœcie zmieniaj¹ kolor jesieni¹,True,1,2.550132399999711
semantic_training,0,Dzik poluje na ludzi,False,0,1.8002942999992229
semantic_training,1,Mózg kontroluje cia³o.,True,1,1.7669644000015978
semantic_training,2,¯ebra chroni¹ p³uca.,Trues,0,2.3167826999997487
semantic_training,3,D³ugopis s³u¿y do pisania,True,1,1.9334204000006139
semantic_training,4,Têtnica prowadzi krew z serca. ,True,1,2.0669598000022233
semantic_training,5,Koszykówka grana jest na boisku,True,1,2.683450399999856
semantic_training,6,Oko umo¿liwia dotyk.,False,1,1.7834734000025492
semantic_training,7,Policjant pilnuje porz¹dku,True,0,3.100109099999827
semantic_training,8,Jogurt mo¿na jeœæ,True,1,1.4834282000010717
semantic_training,9,Silnik jest w samolocie,True,1,1.8502019999978074
semantic_training,10,W¹troba magazynuje energiê. ,False,0,2.216834499999095
semantic_training,11,Nerka filtruje mocz. ,True,1,1.666755899997952
semantic_training,12,Pisarz pisze ksi¹¿ki ,True,1,2.3167412000002514
semantic_training,13,Marynarkê nosi siê na nogach,False,1,1.6502097000011418
semantic_training,14,Owca to zwierzê roœlino¿erne,True,1,2.750453500000731
semantic_training,15,Lydka jest czêœci¹ rêki. ,False,1,2.8002091999987897
semantic_training,16,Liœcie zmieniaj¹ kolor jesieni¹,True,1,2.2335428000005777
perceptual_experiment0,0,Go³¹b potrafi lataæ,True,1,2.3833483000016713
perceptual_experiment0,1,Szyja ³¹czy g³owê z tu³owiem. ,True,1,1.5335106999991694
perceptual_experiment0,2,Miêœnie umo¿liwiaj¹ ruch. ,True,1,1.5668428000026324
perceptual_experiment0,3,Oczy to czêœæ g³owy.,False,1,1.733434199999465
perceptual_experiment0,4,Jubiler sprz¹ta pokoje,True,0,1.7501056999972207
perceptual_experiment0,5,Hamulce s³u¿¹ do hamowania,True,1,1.1001911999992444
perceptual_experiment0,6,We wrzeœniu zaczyna siê zima. ,True,1,1.1503534000003128
